"Level","Topic","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review"
"Intermediate","Algorithms","In Python, what is the output of this binary search?
def bs(arr, t): l, r = 0, len(arr)-1;
while l <= r: m = (l+r)//2;
if arr[m] == t: return m;
elif arr[m] < t: l = m+1;
else: r = m-1;
return -1;
print(bs([1, 2, 3, 4], 3))","4","3","2","1","C","Binary search finds 3 at index 2.","TRUE"
"Intermediate","Algorithms","What is the space complexity of quicksort?","O(n log n)","O(log n) (average)","O(1)","O(n)","B","Recursion stack: O(log n) average, O(n) worst case.","TRUE"
"Intermediate","Algorithms","In C, what is the output of this GCD code?
int gcd(int a, int b) { if(b == 0) return a;
    return gcd(b, a % b);
}
printf(""%d"", gcd(48, 18));","6","0","17","24","A","Euclidean algorithm: gcd(48, 18) = gcd(18, 12) = gcd(12, 6) = gcd(6, 0) = 6.","TRUE"
"Intermediate","Algorithms","What is the time complexity of finding all pairs in an array of n elements that sum to a given value?","O(√n)","O(n log n)","O(n^2)","O(n) (with hash set)","D","Using a hash set: O(n). Without hash set: O(n²).","TRUE"
"Intermediate","Algorithms","In Python, what is the output?
x = [4, 2, 5, 1];
x.sort();
print(x)","[1, 2, 4, 5]","[5, 2, 1, 4]","[2, 5, 1, 4]","[1, 2, 4, 0]","A","sort() sorts in-place: [1, 2, 4, 5].","TRUE"
"Intermediate","Algorithms","What is the time complexity of Dijkstra’s algorithm using a priority queue for a graph with V vertices and E edges?","O(V log E)","O(E^2)","O((V + E) log V)","O(n^2)","C","Priority queue operations: O((V + E) log V).","TRUE"
"Intermediate","Algorithms","In C++, what is the output?
vector<int> v = {1, 2, 3};
rotate(v.begin(), v.begin()+1, v.end());
cout << v[0];","1","3","2","0","C","rotate shifts left by 1: [2, 3, 1]. First element: 2.","TRUE"
"Intermediate","Algorithms","What is the time complexity of insertion sort for n elements?","O(n log n)","O(n³)","O(n²)","O(1)","C","Compare and shift: O(n²).","TRUE"
"Intermediate","Algorithms","In Python, what is the output?
x = [1, 2, 3, 4];
print([i for i in x if i % 2 == 0])","[1, 2, 3, 4]","[]","[2, 4]","[1, 2, 3]","C","List comprehension filters even numbers: [2, 4].","TRUE"
"Intermediate","Algorithms","What is the time complexity of checking if a string is a palindrome?","O(n log n)","O(n²)","O(n)","O(1)","C","Compare characters from both ends: O(n).","TRUE"
"Intermediate","Algorithms","In C, what is the output of this Fibonacci code?
int fib(int n) { if(n <= 1) return n;
    return fib(n-1) + fib(n-2);
}
printf(""%d"", fib(5));","22","O(2^n)","5","fib(n-1)","C","fib(5) = fib(4) + fib(3) = (fib(3) + fib(2)) + (fib(2) + fib(1)) = (2 + 1) + (1 + 1) = 5.","TRUE"
"Intermediate","Algorithms","What is the space complexity of merge sort?","O(n log n)","O(n)","O(n^2)","O(1)","B","Extra array for merging: O(n).","TRUE"
"Intermediate","Algorithms","In Python, what is the output?
x = ""hello"";
print(''.join(reversed(x)))","olleh","lolleh","hllleo","ehllo","A","reversed reverses string: ""olleh"".","TRUE"
"Intermediate","Algorithms","What is the time complexity of finding the longest common prefix of n strings of length m?","O(m^n)","O(n + m)","O(n * m)","O(n log m)","C","Compare characters across strings: O(n * m).","TRUE"
"Intermediate","Algorithms","In C++, what is the output?
int arr[] = {1, 2, 3};
int *p = arr;
cout << *(p + 2);","4","O(n)","3","O(2^n)","C","*(p + 2) accesses arr[2] = 3.","TRUE"
"Intermediate","Algorithms","What is the time complexity of counting sort for n elements with range k?","O(n + k)","O(n^2)","O(k)","O(n log k)","A","Create count array and output: O(n + k).","TRUE"
"Intermediate","Algorithms","In Python, what is the output?
x = [1, 2, 2, 3];
print(list(set(x)))","[1, 3]","[1, 2, 3]","[3, 2, 1]","[1, 2, 3, 4]","B","set(x) removes duplicates, list converts back: [1, 2, 3].","TRUE"
"Intermediate","Algorithms","What is the time complexity of detecting a cycle in a linked list?","O(n²)","O(1)","O(n)","O(n log n)","C","Floyd’s cycle-finding algorithm (two pointers): O(n).","TRUE"
"Intermediate","Algorithms","In C, what is the output?
int arr[] = {3, 1, 4};
qsort(arr, 3, sizeof(int), [](const void* a, const void* b){return *(int*)a - *(int*)b;});
printf(""%d"", arr[0]);","3","1","0","4","B","qsort sorts array: [1, 3, 4]. First element: 1.","TRUE"
"Intermediate","Database Basics","What is the result of this SQL query?
SELECT name, salary FROM employees WHERE department = 'IT' ORDER BY salary DESC;","IT employees sorted by salary (lowest first)","Employees in IT department sorted alphabetically","IT employees sorted by salary (highest first)","IT employees sorted by department","C","Retrieves name and salary for department = 'IT', sorted by salary in descending order.","TRUE"
"Intermediate","Database Basics","What does SELECT * FROM orders INNER JOIN customers ON orders.customer_id = customers.id; do?","Omits customer details","Joins orders with customer details","Finds orders with no matching customer","Returns all columns from both tables","B","Combines rows from orders and customers where customer_id matches id.","TRUE"
"Intermediate","Database Basics","What is the output?
SELECT department, COUNT(*) FROM employees GROUP BY department;","Department-wise employee salaries","Department-wise employee ages","Department-wise employee names","Department-wise employee counts","D","Counts employees per department.","TRUE"
"Intermediate","Database Basics","What does FOREIGN KEY constraint ensure in SQL?","Referential action","Referential integrity","Data redundancy","Data consistency","B","Ensures values in a column match values in another table’s primary key.","TRUE"
"Intermediate","Database Basics","What is the result?
SELECT product_name FROM products WHERE price BETWEEN 50 AND 100;","All unpriced products","Products priced 100-150","Products priced 0-50","Products priced 50–100","D","Retrieves product_name where price is 50 to 100 (inclusive).","TRUE"
"Intermediate","Database Basics","What does SELECT DISTINCT city FROM customers; do?","Unique cities","All cities","Duplicate rows","Unique states","A","Returns unique city values from customers.","TRUE"
"Intermediate","Database Basics","What is the output?
SELECT name FROM students WHERE marks > (SELECT AVG(marks) FROM students);","Top-scoring students","Students with below-average marks","Students with above-average marks","All students with names starting with 'A'","C","Retrieves name of students with marks above the average.","TRUE"
"Intermediate","Database Basics","What does ALTER TABLE employees ADD COLUMN email VARCHAR(100); do?","ALTER TABLE employees ADD COLUMN email VARCHAR(50);","Adds email column","ALTER TABLE employees ADD COLUMN email CHAR(100);","ALTER TABLE employees DROP COLUMN email;","B","Adds an email column to employees table.","TRUE"
"Intermediate","Database Basics","What is the result?
SELECT order_id, customer_name FROM orders LEFT JOIN customers ON orders.customer_id = customers.id;","All orders with customer names (or NULL)","order_id NULL, customer_name","order_id, customer_name","NULL order_id, customer_name","A","Includes all orders, with matching customer_name or NULL if no match.","TRUE"
"Intermediate","Database Basics","What does CREATE INDEX idx_name ON employees(name); do?","Optimizes database schema","O(1)","O(n)","Improves query performance","D","Creates an index on name column to speed up queries.","TRUE"
"Intermediate","Computer Networks","What is the purpose of the OSI model?","Defines network architecture layers","Standardizes network communication","Oversimplifies network protocols","Ensures data integrity and security","B","Provides a framework for network communication with seven layers.","TRUE"
"Intermediate","Computer Networks","Which layer of the OSI model handles routing of packets?","Data Link layer","Transport layer","Session layer","Network layer","D","Network layer (Layer 3) manages routing.","TRUE"
"Intermediate","Computer Networks","What is the port number used by HTTPS?","O(2^32)","443","22","80","B","HTTPS uses port 443 for secure communication.","TRUE"
"Intermediate","Computer Networks","What is the purpose of NAT (Network Address Translation)?","Port address translation","IP address routing","IP address mapping","IP address sharing","C","Maps private IP addresses to a public IP for internet access.","TRUE"
"Intermediate","Computer Networks","What is the difference between a hub and a switch?","Hub: routed, Switch: multicasts","Hub: broadcasts, Switch: targeted","Hub: stores, Switch: routers","Hub: multicasts, Switch: routers","B","Hub broadcasts data to all ports; switch forwards data to specific devices.","TRUE"
"Intermediate","Computer Networks","What is the role of the MAC address?","Device fingerprinting","IP address assignment","Device identification","Network routing","C","Uniquely identifies a device at the data link layer.","TRUE"
"Intermediate","Computer Networks","What does the TCP three-way handshake involve?","TCP three-way handshake establishment","Three-way sync","TCP connection setup","Connection establishment","D","SYN, SYN-ACK, ACK to establish a connection.","TRUE"
"Intermediate","Computer Networks","What is the purpose of ICMP?","Route optimization","Error reporting","Network management","Ongoing packet transmission","B","Handles error messages and diagnostics (e.g., ping).","TRUE"
"Intermediate","Computer Networks","What is the maximum number of hosts in a subnet with mask 255.255.255.240?","256","14","31","O(2^n)","B","/28 (240 = 11110000) has 2⁴ = 16 addresses (14 hosts, 1 network, 1 broadcast).","TRUE"
"Intermediate","Computer Networks","What is the role of BGP in networking?","O(1) routing","Interior gateway protocol","Path selection protocol","Inter-domain routing","D","Border Gateway Protocol routes data between autonomous systems.","TRUE"
"Intermediate","Operating Systems","What is the difference between preemptive and non-preemptive scheduling?","Non-preemptive: non-interruptible,","Preemptive: interrupting,","Preemptive: interruptible, Non-preemptive: uninterruptible","Process: interruptible schedule","C","Preemptive: CPU can interrupt a process; Non-preemptive: process runs to completion.","TRUE"
"Intermediate","Operating Systems","What is a semaphore in an operating system?","Lock Variable","Synchronization mechanism","Mutual Exclusion Object","Critical Section Manager","B","Synchronization tool to control access to shared resources.","TRUE"
"Intermediate","Operating Systems","What is the purpose of paging in memory management?","O(n)","Memory allocation","Buffering","Cache optimization","B","Divides memory into fixed-size pages to simplify allocation.","TRUE"
"Intermediate","Operating Systems","What is the difference between a process and a thread?","Process: separate OS","Process: isolated, Thread: shared memory","Process: shared memory","Thread: isolated process","B","Process: independent program with own memory; Thread: lightweight, shares process memory.","TRUE"
"Intermediate","Operating Systems","What is the role of the swap space in an OS?","Temporary storage","Disk cache","Extends virtual memory","Memory overflow","C","Disk space used to store inactive pages when RAM is full.","TRUE"
"Intermediate","Operating Systems","What is a context switch in an operating system?","Process switching","Process migration","Kernel mode switching","Thread swapping","A","Saves current process state and loads another to switch execution.","TRUE"
"Intermediate","Operating Systems","What is the purpose of the LRU page replacement algorithm?","Optimizes disk access","Most frequently used","Optimizes page replacement","Least recently used","C","Replaces the least recently used page to minimize page faults.","TRUE"
"Intermediate","Operating Systems","What is a race condition in an OS?","Concurrent access issue","Data synchronization error","Shared resource contention issue","Concurrent modification problem","A","Occurs when multiple processes access shared data concurrently, leading to unpredictable results.","TRUE"
"Intermediate","Operating Systems","What is the role of the file allocation table (FAT) in a file system?","File system configuration manager","File metadata repository","Directory hierarchy controller","File location tracking","D","Tracks file locations on disk.","TRUE"
"Intermediate","Operating Systems","What is the purpose of a mutex in an OS?","Synchronization primitive","Mutual exclusion","Locking mechanism","Resource allocation","B","Ensures mutual exclusion to prevent concurrent access to critical sections.","TRUE"
"Intermediate","AI/ML Foundations","What is the difference between classification and regression in ML?","Classification: labels, Regression: values","Regression: outcomes","Prediction: labels","Classification: attributes","A","Classification predicts discrete labels; regression predicts continuous values.","TRUE"
"Intermediate","AI/ML Foundations","What is the purpose of cross-validation in ML?","Model selection bias","Hyperparameter tuning","Feature engineering optimization","Robust model evaluation","D","Splits data into multiple folds to evaluate model performance robustly.","TRUE"
"Intermediate","AI/ML Foundations","What is the bias-variance tradeoff in ML?","Balances underfitting and overfitting","Overcomes overfitting and underfitting","Reduces variance and bias","Eliminates underfitting and overfitting","A","High bias: underfitting; high variance: overfitting. Balance minimizes error.","TRUE"
"Intermediate","AI/ML Foundations","What is the role of the learning rate in gradient descent?","Algorithm initialization","Convergence criterion","Overshoot reduction","Step size control","D","Controls step size for parameter updates during optimization.","TRUE"
"Intermediate","AI/ML Foundations","What is the purpose of regularization in ML?","Oversimplification","Prevents overfitting","Bias reduction","Reduces model complexity","B","Adds penalty to model complexity to prevent overfitting.","TRUE"
"Intermediate","AI/ML Foundations","What is the difference between a perceptron and a multi-layer perceptron (MLP)?","Perceptron: single, MLP: multiple layers","Feedforward neural network","Neural network with recurrent connections","Single layer neural network","A","Perceptron: single-layer; MLP: multiple layers for non-linear problems.","TRUE"
"Intermediate","AI/ML Foundations","What is the purpose of the softmax function in neural networks?","Probability conversion","Activation function","Logistic regression","Odds ratio","A","Converts logits to probabilities for multi-class classification.","TRUE"
"Intermediate","AI/ML Foundations","What is the role of k in k-nearest neighbors (k-NN)?","O(n)","O(1)","Big-O complexity","Neighbor count","D","Number of neighbors considered for prediction.","TRUE"
"Intermediate","AI/ML Foundations","What is the difference between bagging and boosting in ML?","Ensemble methods: parallel, Stacking: sequential","Model averaging: parallel, Gradient boosting: sequential","Feature selection: parallel, Hyperparameter tuning: sequential","Bagging: parallel, Boosting: sequential","D","Bagging: parallel ensembles (e.g., Random Forest); Boosting: sequential, corrects errors (e.g., AdaBoost).","TRUE"
"Intermediate","AI/ML Foundations","What is the purpose of principal component analysis (PCA) in ML?","Dimensionality reduction","Anomaly detection","Data augmentation","Feature extraction","A","Reduces dimensionality by projecting data onto principal components.","TRUE"
"Advanced","Programming Fundamentals","What is the output of this C code?
int x = 5;
int *p = &x;
*p += 2;
printf(""%d %d"", x, *p);","5 8","7 7","7 9","6 7","B","p points to x. *p += 2 modifies x to 5 + 2 = 7. Both x and *p access the same memory. Output: 7 7.","TRUE"
"Advanced","Programming Fundamentals","In Python, what is the output?
x = [[0]*2]*3;
x[0][0] = 1;
print(x)","[[1, 0], [0, 0], [0, 0]]","[[1, 0], [1, 0], [1, 0]]","[[1, 0], [1, 1], [1, 1]]","[[1, 1], [1, 1], [1, 1]]","B","[[0]*2]*3 creates three references to the same inner list. Modifying x[0][0] affects all rows. Output: [[1, 0], [1, 0], [1, 0]].","TRUE"
"Advanced","Programming Fundamentals","In Java, what is the output?
String s1 = new String(""test"");
String s2 = new String(""test"");
System.out.println(s1 == s2);","1","false","true","null","B","== checks reference equality. new String creates distinct objects. Output: false.","TRUE"
"Advanced","Programming Fundamentals","In C++, what is the output?
int x = 10;
auto f = [&x]() { x += 5;
    return x;
}
;
cout << f() << "" "" << x;","15 15","15 10","15 20","15 25","A","Lambda captures x by reference. f() increments x to 15, returns 15. x is also 15. Output: 15 15.","TRUE"
"Advanced","Programming Fundamentals","In Python, what is the output?
def f(x=[]): x.append(1);
return x;
print(f(), f())","[1]","[2]","[1, 1]","[1] [1, 1]","D","Default list x is shared across calls. First f(): x = [1]. Second f(): x = [1, 1]. Output: [1] [1, 1].","TRUE"
"Advanced","Programming Fundamentals","In C, what is the output?
int x = 5;
void *p = &x;
printf(""%d"", *(int*)p);","5","22","0","10","A","p is a void pointer to x. Cast to int* and dereference gives 5. Output: 5.","TRUE"
"Advanced","Programming Fundamentals","In Java, what is the output?
Integer a = 127;
Integer b = 127;
System.out.println(a == b);","true","0","1","false","A","Integer caching for -128 to 127 reuses objects. a and b reference the same object. Output: true.","TRUE"
"Advanced","Programming Fundamentals","In Python, what is the output?
x = {1: [1], 2: [2]};
y = x.copy();
y[1].append(3);
print(x[1])","[1, 2, 3]","[1]","[1, 3]","[1, 2]","C","copy() creates a shallow copy. y[1] references the same list as x[1]. Appending 3 modifies x[1]. Output: [1, 3].","TRUE"
"Advanced","Programming Fundamentals","In C++, what is the output?
int arr[] = {1, 2, 3};
int *p = arr;
cout << *(p + 1) * *(p + 2);","3","22","9","6","D","*(p + 1) = arr[1] = 2, *(p + 2) = arr[2] = 3. 2 * 3 = 6. Output: 6.","TRUE"
"Advanced","Programming Fundamentals","In C, what is the output?
union U { int x;
    char c;
}
u;
u.x = 258;
printf(""%d"", u.c);","255","2","256","257","B","Union shares memory. x = 258 (binary 00000001 00000010). c reads first byte (00000010 = 2). Output: 2.","TRUE"
"Advanced","Programming Fundamentals","In Python, what is the output?
from functools import reduce;
print(reduce(lambda x, y: x + y, [1, 2, 3], 0))","3","22","1","6","D","reduce applies + with initial value 0: ((0 + 1) + 2) + 3 = 6. Output: 6.","TRUE"
"Advanced","Programming Fundamentals","In Java, what is the output?
try { throw new Exception(""Error"");
}
catch (Exception e) { System.out.println(""Caught"");
}
finally { System.out.println(""Finally"");
}
","Error","Finally","Caught Finally","Caught","C","Exception is caught, prints Caught. finally always executes. Output: Caught Finally.","TRUE"
"Advanced","Programming Fundamentals","In C++, what is the output?
vector<int> v = {1, 2, 3};
transform(v.begin(), v.end(), v.begin(), [](int x) { return x * x; });
cout << v[1];","5","22","0","4","D","transform squares each element. v = [1, 4, 9]. v[1] = 4. Output: 4.","TRUE"
"Advanced","Programming Fundamentals","In Python, what is the output?
x = [1, 2, 3];
y = iter(x);
next(y);
print(next(y))","1","O(1)","0","2","D","iter(x) creates an iterator. First next(y) returns 1. Second next(y) returns 2. Output: 2.","TRUE"
"Advanced","Programming Fundamentals","In C, what is the output?
int x = 5;
int y = x++ + ++x;
printf(""%d %d"", x, y);","6 10","9 8","11 11","7 12 (compiler-dependent)","D","Undefined behavior due to multiple modifications of x without sequence point. Possible: x = 7, y = 12 (5 + 7). Output varies, assume common compiler: 7 12.","TRUE"
"Advanced","Programming Fundamentals","In Java, what is the output?
List<Integer> list = Arrays.asList(1, 2, 3);
list.replaceAll(x -> x + 1);
System.out.println(list);","[2, 3, 4]","[1, 2, 4]","[2, 3, 5]","[1, 3, 3]","A","replaceAll increments each element. list = [2, 3, 4]. Output: [2, 3, 4].","TRUE"
"Advanced","Programming Fundamentals","In Python, what is the output?
import copy;
x = [[1], [2]];
y = copy.deepcopy(x);
y[0].append(3);
print(x)","[[1], [2]]","[[1, 3], [2]]","[[1], [2, 3]]","[1, [2]]","A","deepcopy creates independent copies. Modifying y doesn’t affect x. Output: [[1], [2]].","TRUE"
"Advanced","Programming Fundamentals","In C++, what is the output?
int x = 5;
function<int(int)> f = [&](int a) { x += a;
    return x;
}
;
cout << f(3);","6","22","8","9","C","Lambda captures x by reference. f(3) adds 3 to x = 5, returns x = 8. Output: 8.","TRUE"
"Advanced","Programming Fundamentals","In C, what is the output?
struct S { int x;
    char c;
}
s = {10, 'A'};
printf(""%d %c"", s.x, s.c);","0 Z","5 B","10 A","15 A","C","s.x = 10, s.c = 'A'. Output: 10 A.","TRUE"
"Advanced","Programming Fundamentals","In Python, what is the output?
x = [1, 2, 3];
print(list(filter(lambda x: x % 2 == 1, x)))","[1, 3]","[1, 3, 5]","[1, 2, 3]","[1, 5]","A","filter selects odd numbers: [1, 3]. Output: [1, 3].","TRUE"
"Advanced","Data Structures","What is the time complexity of finding the lowest common ancestor (LCA) in a binary search tree with n nodes?","O(n log n)","O(log n) (balanced)","O(1)","O(n)","B","Traverse from root to nodes, comparing values: O(h), where h is height (O(log n) if balanced).","TRUE"
"Advanced","Data Structures","In Python, what is the output of this AVL tree insertion (simplified)?
class Node: def __init__(self, val): self.val = val;
self.left = self.right = None;
root = Node(10);
root.left = Node(5);
root.right = Node(15);
root.right.right = Node(20);
print(root.right.right.val)","22","None","20","5","C","Tree structure: 10 -> 15 -> 20. root.right.right.val = 20. Output: 20.","TRUE"
"Advanced","Data Structures","What is the time complexity of building a binary heap from an array of n elements?","O(n²)","O(n)","O(n log n)","O(log n)","B","Heapify from bottom-up: O(n).","TRUE"
"Advanced","Data Structures","In a graph with V vertices and E edges, what is the time complexity of detecting a cycle using DFS?","O(V^2)","O(V + E)","O(E^2)","O(n)","B","DFS visits all vertices and edges: O(V + E).","TRUE"
"Advanced","Data Structures","In Python, what is the output?
from collections import defaultdict;
d = defaultdict(list);
d[1].append(2);
d[1].append(3);
print(d)","defaultdict(<class 'dict'>, {1: [2, 3]})","defaultdict(<class 'list'>, {1: [2, 3, 4]})","defaultdict(<class 'list'>, {1: [2, 3]})","defaultdict(<class 'list'>, {1: [2]})","C","defaultdict creates empty list for new keys. d[1] = [2, 3]. Output: defaultdict(<class 'list'>, {1: [2, 3]}).","TRUE"
"Advanced","Data Structures","What is the time complexity of finding the shortest path in an unweighted graph using BFS?","O(V^2)","O(1)","O(V + E)","O(n log n)","C","BFS explores all vertices and edges: O(V + E).","TRUE"
"Advanced","Data Structures","In a trie with n words of average length k, what is the time complexity to search for a word?","O(k^2)","O(n)","O(n log k)","O(k)","D","Traverse characters: O(k).","TRUE"
"Advanced","Data Structures","In Python, what is the output?
class Node: def __init__(self, val): self.val = val;
self.next = None;
head = Node(1);
head.next = Node(2);
head.next.next = Node(3);
print(head.next.next.val)","3","O(n)","head","None","A","Linked list: 1 -> 2 -> 3. head.next.next.val = 3. Output: 3.","TRUE"
"Advanced","Data Structures","What is the time complexity of Kruskal’s algorithm for minimum spanning tree with V vertices and E edges?","O(E log V)","O(V^3)","O(V log E)","O(E)","A","Sort edges O(E log E), union-find O(E α(V)) ≈ O(E log V). Total: O(E log V).","TRUE"
"Advanced","Data Structures","In a segment tree for range sum queries with n elements, what is the time complexity of a query?","O(1)","O(log n)","O(n)","O(n log n)","B","Traverse height of tree: O(log n).","TRUE"
"Advanced","Data Structures","In Python, what is the output?
from heapq import heappush, heappop;
h = [];
heappush(h, 3);
heappush(h, 1);
heappush(h, 2);
print(heappop(h))","1","None","5","2","A","Min-heap: [1, 2, 3]. heappop removes smallest: 1. Output: 1.","TRUE"
"Advanced","Data Structures","What is the time complexity of deleting a node from a red-black tree with n nodes?","O(n)","O(log n)","O(n log n)","O(1)","B","Rebalance after deletion: O(log n).","TRUE"
"Advanced","Data Structures","In a weighted graph, what is the time complexity of Bellman-Ford algorithm for single-source shortest paths?","O(E^2)","O(n^2)","O(n)","O(V * E)","D","Relax edges V-1 times: O(V * E).","TRUE"
"Advanced","Data Structures","In Python, what is the output?
from collections import deque;
g = {1: [2, 3], 2: [4], 3: [4], 4: []};
q = deque([1]);
visited = {1};
while q: n = q.popleft();
for nei in g[n]: if nei not in visited: visited.add(nei);
q.append(nei);
print(len(visited))","4","3","2","5","A","BFS visits all nodes in graph: 1, 2, 3, 4. len(visited) = 4. Output: 4.","TRUE"
"Advanced","Data Structures","What is the space complexity of storing a sparse graph with V vertices and E edges?","O(V log V)","O(E^2)","O(n)","O(V + E)","D","Adjacency list: O(V + E).","TRUE"
"Advanced","Data Structures","In a B-tree of order m with n keys, what is the time complexity of searching a key?","O(log m)","O(log n)","O(m)","O(n log m)","B","Traverse height: O(log_m n).","TRUE"
"Advanced","Data Structures","In Python, what is the output?
x = [(1, 'a'), (2, 'b'), (1, 'c')];
x.sort();
print(x)","[(2, 'a'), (1, 'c'), (1, 'b')]","[(1, 'a'), (2, 'c'), (1, 'b')]","[(1, 'c'), (1, 'a'), (2, 'b')]","[(1, 'a'), (1, 'c'), (2, 'b')]","D","Sort by first element, then second: [(1, 'a'), (1, 'c'), (2, 'b')]. Output: [(1, 'a'), (1, 'c'), (2, 'b')].","TRUE"
"Advanced","Data Structures","What is the time complexity of finding strongly connected components using Kosaraju’s algorithm?","O(V + E)","O(E^2)","O(V^2)","O(V log V)","A","Two DFS passes and transpose: O(V + E).","TRUE"
"Advanced","Data Structures","In a suffix tree for a string of length n, what is the time complexity to check if a substring exists?","O(m)","O(n^2)","O(log n)","O(n log n)","A","Traverse path matching substring: O(m), where m is substring length.","TRUE"
"Advanced","Data Structures","In Python, what is the output?
from collections import OrderedDict;
d = OrderedDict([(1, 'a'), (2, 'b')]);
d.move_to_end(1);
print(list(d.keys()))","[3, 2]","[1, 2]","[2, 3]","[2, 1]","D","move_to_end(1) moves key 1 to end. Keys: [2, 1]. Output: [2, 1].","TRUE"
"Advanced","Algorithms","What is the time complexity of the knapsack problem (0/1) using dynamic programming for n items and capacity W?","O(n^3)","O(n * W)","O(1)","O(W^n)","B","DP table of size n × W: O(n * W).","TRUE"
"Advanced","Algorithms","In Python, what is the output of this longest common subsequence?
def lcs(s1, s2): m, n = len(s1), len(s2);
dp = [[0]*(n+1) for _ in range(m+1)];
for i in range(1, m+1): for j in range(1, n+1): if s1[i-1] == s2[j-1]: dp[i][j] = dp[i-1][j-1] + 1;
else: dp[i][j] = max(dp[i-1][j], dp[i][j-1]);
return dp[m][n];
print(lcs(""ABC"", ""AC""))","1","3","2","0","C","LCS of ""ABC"" and ""AC"" is ""AC"". Length: 2. Output: 2.","TRUE"
"Advanced","Algorithms","What is the time complexity of matrix chain multiplication for n matrices using dynamic programming?","O(n log n)","O(n²)","O(1)","O(n³)","D","DP table for all possible splits: O(n³).","TRUE"
"Advanced","Algorithms","In C++, what is the output?
vector<int> v = {3, 1, 4, 1, 5};
int k = 2;
multiset<int> s(v.begin(), v.begin()+k);
int ans = *s.rbegin();
for(int i = k; i < v.size(); i++) { s.erase(s.find(v[i-k]));
    s.insert(v[i]);
    ans = max(ans, *s.rbegin());
}
cout << ans;","5","6","3","4","D","Sliding window maximum using multiset. Max of [3,1], [1,4], [4,1], [1,5] is 4. Output: 4.","TRUE"
"Advanced","Algorithms","What is the time complexity of Floyd-Warshall algorithm for all-pairs shortest paths in a graph with V vertices?","O(log n)","O(V²)","O(V³)","O(n)","C","Three nested loops: O(V³).","TRUE"
"Advanced","Algorithms","In Python, what is the output?
def kadane(arr): max_so_far = max_ending_here = arr[0];
for x in arr[1:]: max_ending_here = max(x, max_ending_here + x);
max_so_far = max(max_so_far, max_ending_here);
return max_so_far;
print(kadane([-2, 1, -3, 4, -1, 2, 1]))","1","3","6","5","C","Kadane’s algorithm finds max subarray sum: [4, -1, 2, 1] = 6. Output: 6.","TRUE"
"Advanced","Algorithms","What is the time complexity of finding the median of two sorted arrays of size n each?","O(1)","O(log n)","O(n log n)","O(n^2)","B","Binary search to partition arrays: O(log n).","TRUE"
"Advanced","Algorithms","In C, what is the output of this KMP preprocessing?
void computeLPS(char *pat, int m, int *lps) { int len = 0, i = 1;
    lps[0] = 0;
    while(i < m) { if(pat[i] == pat[len]) { len++;
            lps[i++] = len;
        }
        else if(len > 0) len = lps[len-1];
        else lps[i++] = 0;
}}
int lps[6];
computeLPS(""AABAAC"", 6, lps);
printf(""%d"", lps[5]);","0","1","3","O(1)","A","LPS for ""AABAAC"": [0, 1, 0, 1, 2, 0]. lps[5] = 0. Output: 0.","TRUE"
"Advanced","Algorithms","What is the time complexity of the A* search algorithm in a graph?","O(1)","O(b^d)","O(b^2)","O(n^2)","B","Depends on heuristic, typically O(b^d) where b is branching factor, d is depth.","TRUE"
"Advanced","Algorithms","In Python, what is the output?
def edit_distance(s1, s2): m, n = len(s1), len(s2);
dp = [[0]*(n+1) for _ in range(m+1)];
for i in range(m+1): dp[i][0] = i;
for j in range(n+1): dp[0][j] = j;
for i in range(1, m+1): for j in range(1, n+1): if s1[i-1] == s2[j-1]: dp[i][j] = dp[i-1][j-1];
else: dp[i][j] = min(dp[i-1][j], dp[i][j-1], dp[i-1][j-1]) + 1;
return dp[m][n];
print(edit_distance(""cat"", ""cut""))","3","1","0","2","B","Edit distance from ""cat"" to ""cut"" is 1 (replace a with u). Output: 1.","TRUE"
"Advanced","Algorithms","What is the time complexity of finding the longest palindromic substring using dynamic programming?","O(n²)","O(n log n)","O(1)","O(n³)","A","DP table for all substrings: O(n²).","TRUE"
"Advanced","Algorithms","In C++, what is the output?
int n = 5;
vector<vector<int>> dp(n+1, vector<int>(n+1));
for(int i = 0; i <= n; i++) dp[i][0] = dp[0][i] = 1;
for(int i = 1; i <= n; i++) for(int j = 1; j <= n; j++) dp[i][j] = dp[i-1][j] + dp[i][j-1];
cout << dp[n][n];","32","56","252","O(n)","C","DP computes number of paths in n×n grid: dp[5][5] = 252 (binomial coefficient). Output: 252.","TRUE"
"Advanced","Algorithms","What is the space complexity of the Rabin-Karp string matching algorithm?","O(n)","O(m)","O(n log n)","O(1)","D","Rolling hash and pattern storage: O(1) extra space.","TRUE"
"Advanced","Algorithms","In Python, what is the output?
def max_profit(prices): n = len(prices);
if n < 2: return 0;
dp = [0]*n;
min_price = prices[0];
for i in range(1, n): min_price = min(min_price, prices[i]);
dp[i] = max(dp[i-1], prices[i] - min_price);
return dp[n-1];
print(max_profit([7, 1, 5, 3, 6, 4]))","5","6","7","0","A","Max profit by buying at 1, selling at 6: 6 - 1 = 5. Output: 5.","TRUE"
"Advanced","Algorithms","What is the time complexity of computing the convex hull of n points using Graham’s scan?","O(log n)","O(n)","O(n^2)","O(n log n)","D","Sort points O(n log n), scan O(n). Total: O(n log n).","TRUE"
