"Level","Question","Option_A","Option_B","Option_C","Option_D","Correct_Option","Solution","Needs_Review","Distractor_Method"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: What is the highest temperature recorded?","50°C","28°C","25°C","22°C","C","Highest is Jun (25°C).","TRUE","mechanical"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: What is the average temperature over the six months?","15°C","12°C","17°C","10°C","C","Total = 10 + 12 + 15 + 18 + 22 + 25 = 102. Average = 102 ÷ 6 = 17°C.","TRUE","mechanical"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: By how much did the temperature increase from Feb to Mar?","4°C","6°C","2°C","3°C","D","Increase = 15 - 12 = 3°C.","TRUE","mechanical"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: What is the total temperature for Jan and Feb?","22°C","12°C","44°C","10°C","A","Jan (10) + Feb (12) = 22°C.","TRUE","mechanical"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: Which month had the lowest temperature?","The month with the lowest temperature was June, which is incorrect because June has the highest temperature in the line graph.","The month with the lowest temperature was March, but when comparing the temperatures, it is clear that April's temperature was lower than March's but not as low as January's.","January","The month with the lowest temperature was February, as it shows a temperature of 12°C, which is higher than January's 10°C but lower than all other months.","C","Lowest is Jan (10°C).","TRUE","llm"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: What is the percentage increase in temperature from Jan to Feb?","10%","12%","40%","20%","D","Increase = 12 - 10 = 2. % Increase = (2 ÷ 10) × 100 = 20%.","TRUE","mechanical"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: What is the ratio of temperature in Mar to Apr?","The ratio of temperature in Feb to Mar is 4 : 5.","5 : 6","The ratio of temperature in May to Jun is 7 : 8.","The ratio of temperature in Jan to Apr is 5 : 9.","B","Mar (15) : Apr (18) = 15 : 18 = 5 : 6.","TRUE","llm"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: What is the temperature difference between May and Jun?","2°C","4°C","6°C","3°C","D","Jun (25) - May (22) = 3°C.","TRUE","mechanical"
"Basic","**Line Graph 1: Monthly Temperature (°C) in a City (Jan–Jun)**
- Jan: 10
- Feb: 12
- Mar: 15
- Apr: 18
- May: 22
- Jun: 25

Question: Which month had a temperature of 18°C?","April","The month with the temperature of 18°C was May.","April had the highest temperature in this period.","The city experienced an increase in temperature of 18°C from March to April.","A","Apr = 18°C.","TRUE","llm"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: How many visitors were there in April?","38,500 visitors","35,000 visitors","31,500 visitors","70,000 visitors","B","Apr = 35 (thousand) = 35,000 visitors.","TRUE","mechanical"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: What is the highest number of visitors recorded?","45,000 visitors","49,500 visitors","40,500 visitors","90,000 visitors","A","Highest is Jun (45,000).","TRUE","mechanical"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: What is the average number of visitors over the six months?","35,750 visitors","65,000 visitors","32,500 visitors","29,250 visitors","C","Total = 20 + 25 + 30 + 35 + 40 + 45 = 195. Average = 195 ÷ 6 = 32.5 (thousand) = 32,500.","TRUE","mechanical"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: By how many visitors did the count increase from Mar to Apr?","4,500 visitors","5,500 visitors","10,000 visitors","5,000 visitors","D","Increase = 35 - 30 = 5 (thousand) = 5,000 visitors.","TRUE","mechanical"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: What is the total number of visitors in Jan and Feb?","45,000 visitors","40,500 visitors","90,000 visitors","49,500 visitors","A","Jan (20) + Feb (25) = 45 (thousand) = 45,000 visitors.","TRUE","mechanical"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: Which month had the fewest visitors?","January had significantly fewer visitors than the other months in the second quarter.","January","May received the fewest visitors in the first half of the year.","March had the fewest visitors among the months shown.","B","Lowest is Jan (20,000).","TRUE","llm"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: What is the percentage increase in visitors from Feb to Mar?","20%","30%","40%","25%","A","Increase = 30 - 25 = 5. % Increase = (5 ÷ 25) × 100 = 20%.","TRUE","mechanical"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: What is the ratio of visitors in May to Jun?","The ratio of visitors in Jun to May is 9 : 8 in reverse order but the question asks the other way round so this is wrong.","The ratio of visitors in Mar to Apr is 6 : 7.","8 : 9","The ratio of visitors in Jan to Feb is 4 : 5.","C","May (40) : Jun (45) = 40 : 45 = 8 : 9.","TRUE","llm"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: What is the difference in visitors between Apr and May?","4,500 visitors","5,500 visitors","10,000 visitors","5,000 visitors","D","May (40) - Apr (35) = 5 (thousand) = 5,000 visitors.","TRUE","mechanical"
"Basic","**Line Graph 2: Monthly Website Visitors (in thousands, Jan–Jun)**
- Jan: 20
- Feb: 25
- Mar: 30
- Apr: 35
- May: 40
- Jun: 45

Question: Which month had 30,000 visitors?","February had 30,000 visitors.","April had 30,000 website visitors overall from the data provided.","March had 40,000 visitors in the year before the given data.","March","D","Mar = 30 (thousand) = 30,000.","TRUE","llm"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: What is the total revenue from Apples?","$220","$200","$400","$100","B","Revenue = 100 × 2 = $200.","TRUE","mechanical"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: What is the total revenue from Bananas?","$135","$300","$150","$165","C","Revenue = 150 × 1 = $150.","TRUE","mechanical"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: What is the total revenue from Oranges?","$200","$330","$600","$300","D","Revenue = 200 × 1.5 = $300.","TRUE","mechanical"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: What is the total revenue from all fruits?","$1,300","$200","$650","$300","C","Total = 200 + 150 + 300 = $650.","TRUE","mechanical"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: Which fruit generated the highest revenue?","Apples generated the highest revenue since they were sold for $2/kg and had the largest quantity sold.","Oranges","The revenue from oranges was not as high as initially thought since the quantity sold was actually 100 kg.","Bananas generated the highest revenue due to their higher unit price of $1/kg compared to oranges.","B","Apples ($200), Bananas ($150), Oranges ($300). Highest is Oranges.","TRUE","llm"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: What is the average price per kg of the fruits sold?","$2.88/kg","$1.3/kg","$1.58/kg","$1.44/kg","D","Total revenue = $650. Total kg = 100 + 150 + 200 = 450. Average price = 650 ÷ 450 ≈ $1.44/kg.","TRUE","mechanical"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: What is the ratio of Apples sold to Bananas sold (in kg)?","The ratio of Apples sold to total fruits sold is 1 : 4, based on the total weight of Apples.","2 : 3","The ratio of Bananas sold to Oranges sold is 1 : 1.33, since both Bananas and Oranges are sold at the same price per kg.","Apples sold to Oranges sold ratio is 1 : 2, since Apples are sold at a lower price per kg.","B","Apples (100) : Bananas (150) = 100 : 150 = 2 : 3.","TRUE","llm"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: How much more revenue did Oranges generate than Bananas?","$165","$150","$300","$135","B","Oranges ($300) - Bananas ($150) = $150.","TRUE","mechanical"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: What percentage of total revenue came from Apples?","33.85%","61.54%","27.69%","30.77%","D","Apples ($200) ÷ Total ($650) × 100 ≈ 30.77%.","TRUE","mechanical"
"Basic","**Caselet 1: A Shop Sells Three Types of Fruits**
- Apples: 100 kg sold at $2/kg
- Bananas: 150 kg sold at $1/kg
- Oranges: 200 kg sold at $1.5/kg

Question: What is the total weight of fruits sold?","200 kg","450 kg","150 kg","900 kg","B","Total = 100 + 150 + 200 = 450 kg.","TRUE","mechanical"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: What is Team A’s total points?","100 points","50 points","200 points","30 points","A","Total = 50 + 30 + 20 = 100 points.","TRUE","mechanical"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: Which team scored the most points in Swimming?","Team A scored the most points in Others in 2019.","Team C","Team C scored the most points in Athletics in 2015.","Team B scored the most points in Swimming in 2020.","B","Swimming: A (30), B (20), C (40). Highest is C (40).","TRUE","llm"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: What is the average points scored by Team B?","40 points","20 points","90 points","30 points","D","Total = 40 + 20 + 30 = 90. Average = 90 ÷ 3 = 30 points.","TRUE","mechanical"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: By how many points did Team A outscore Team C in Athletics?","50 points","20 points","30 points","40 points","B","A (50) - C (30) = 20 points.","TRUE","mechanical"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: What is the total points scored in Others across all teams?","60 points","30 points","120 points","20 points","A","Others: A (20) + B (30) + C (10) = 60 points.","TRUE","mechanical"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: Which team scored the fewest points overall?","Team A scored the fewest points in Swimming, so they must have scored the fewest overall.","Team C","Team B had a higher total in Athletics than Team C, so Team C cannot be the lowest overall.","Team C scored the highest points in Swimming, so it is likely that they scored the fewest overall.","B","A: 100, B: 90, C: 30 + 40 + 10 = 80. Lowest is C (80).","TRUE","llm"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: What is the percentage of Team A’s points from Athletics?","45%","100%","55%","50%","D","Athletics (50) ÷ Total (100) × 100 = 50%.","TRUE","mechanical"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: What is the ratio of Team B’s Swimming to Others points?","2 : 3","Team B's Swimming points were lower than Team A's points in the Others category in 2022.","Team C had a higher ratio of Swimming to Others points than Team B.","The correct answer is the ratio of Team B's Others points to Team A's Swimming points.","A","Swimming (20) : Others (30) = 20 : 30 = 2 : 3.","TRUE","llm"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: What is the total points scored by Teams A and B in Swimming?","100 points","50 points","20 points","30 points","B","A (30) + B (20) = 50 points.","TRUE","mechanical"
"Basic","**Caselet 2: A School’s Sports Day Points**
- Team A: 50 points (Athletics), 30 points (Swimming), 20 points (Others)
- Team B: 40 points (Athletics), 20 points (Swimming), 30 points (Others)
- Team C: 30 points (Athletics), 40 points (Swimming), 10 points (Others)

Question: Which team won the sports day (highest total points)?","Team B had the highest points in Others in 2015, but the overall points did not necessarily determine the winner.","Team A","Team A's high points in Athletics in 2020 do not necessarily correlate with the total points.","Team C had the highest points in Swimming in previous years, but the Sports Day winner is determined by total points.","B","A: 100, B: 90, C: 80. Highest is A.","TRUE","llm"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: What is the total annual revenue of Store W in 2023?","$1,210,000","$990,000","$1,100,000","$2,200,000","C","Total = 200 + 250 + 300 + 350 = 1100 ($1000) = $1,100,000.","TRUE","mechanical"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: Which store had the highest revenue in Q3?","Store Y generated 90% of its revenue in Q3 compared to Store W, which indicates Store Y had a higher revenue ratio.","Store Z had an average quarterly revenue increase of 6.67%, with Q3 revenue exceeding Q2 by 4.35%, making it the highest revenue store in Q3.","Store W","Store X had the highest revenue in Q3, as it was 240, which is higher than any other store's revenue in that quarter.","C","Q3: W (300), X (240), Y (170), Z (240). Highest is W (300).","TRUE","llm"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: What is the average quarterly revenue of Store X?","$202,500","$247,500","$225,000","$450,000","C","Total = 180 + 210 + 240 + 270 = 900. Average = 900 ÷ 4 = 225 ($1000) = $225,000.","TRUE","mechanical"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: What is the percentage growth in Store Y’s revenue from Q1 to Q4?","20%","30%","22%","40%","A","Increase = 180 - 150 = 30. % Growth = (30 ÷ 150) × 100 = 20%.","TRUE","mechanical"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: What is the total revenue of all stores in Q2?","$935,000","$1,700,000","$765,000","$850,000","D","Q2: W (250) + X (210) + Y (160) + Z (230) = 850 ($1000) = $850,000.","TRUE","mechanical"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: What is the ratio of Store Z’s revenue in Q1 to Q4?","The ratio of Store Y's revenue in Q2 to Q1 is 160 : 150.","The ratio of Store W's revenue in Q4 to Q3 is 350 : 300.","The ratio of Store Z's revenue in Q3 to Q4 is 24 : 25.","22 : 25","D","Q1 (220) : Q4 (250) = 220 : 250 = 22 : 25.","TRUE","llm"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: By how much did Store W’s revenue exceed Store X’s in Q4?","$160,000","$80,000","$72,000","$88,000","B","W (350) - X (270) = 80 ($1000) = $80,000.","TRUE","mechanical"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: Which store showed the highest percentage growth from Q1 to Q2?","The store with the highest percentage growth from Q1 to Q3 was Y.","Store Z had a higher percentage growth from Q1 to Q2 than store W.","Store X showed the highest percentage growth from Q1 to Q2.","Store W","D","W: (250 - 200) ÷ 200 × 100 = 25%.
X: (210 - 180) ÷ 180 × 100 ≈ 16.67%.
Y: (160 - 150) ÷ 150 × 100 ≈ 6.67%.
Z: (230 - 220) ÷ 220 × 100 ≈ 4.55%.
Highest is W.","TRUE","llm"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: What is the combined revenue of Stores W and Y in Q3?","$517,000","$470,000","$423,000","$940,000","B","W (300) + Y (170) = 470 ($1000) = $470,000.","TRUE","mechanical"
"Intermediate","**Table 1: Quarterly Revenue (in $1000) of Four Stores (Q1–Q4, 2023)**
| Store | Q1  | Q2  | Q3  | Q4  |
|-------|-----|-----|-----|-----|
| W     | 200 | 250 | 300 | 350 |
| X     | 180 | 210 | 240 | 270 |
| Y     | 150 | 160 | 170 | 180 |
| Z     | 220 | 230 | 240 | 250 |

Question: Which quarter had the lowest total revenue across all stores?","Q3 had the highest total revenue, making Q1 the lowest.","Q4 had higher revenue in two stores while having lower revenue in another store, making Q1 the lowest.","Q1","Q2 has higher revenue in three stores and lower revenue in one store, making Q1 the lowest.","C","Q1: 200 + 180 + 150 + 220 = 750.
Q2: 250 + 210 + 160 + 230 = 850.
Q3: 300 + 240 + 170 + 240 = 950.
Q4: 350 + 270 + 180 + 250 = 1050 ($1000).
Lowest is Q1 ($750,000).","TRUE","llm"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: What is the total number of employees in Branch A in 2023?","132 employees","60 employees","240 employees","120 employees","D","Total = 25 + 60 + 35 = 120 employees.","TRUE","mechanical"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: Which department in Branch B had the highest growth from 2022 to 2023?","Sales in Branch B had the highest growth from 2022 to 2023.","The Sales and IT departments in Branch B had equal growth from 2022 to 2023.","HR or Sales","The IT department in Branch B had a higher growth rate than the HR department in Branch B from 2022 to 2023.","C","HR: (18 - 15) ÷ 15 × 100 = 20%.
IT: (45 - 40) ÷ 40 × 100 = 12.5%.
Sales: (30 - 25) ÷ 25 × 100 = 20%.
HR and Sales tie for highest.","TRUE","llm"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: What is the average number of IT employees across both branches in 2022?","40 employees","90 employees","50 employees","45 employees","D","Total = 50 (A) + 40 (B) = 90. Average = 90 ÷ 2 = 45 employees.","TRUE","mechanical"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: What is the percentage increase in Sales employees in Branch A from 2022 to 2023?","33.34%","30%","35%","16.67%","D","Increase = 35 - 30 = 5. % Increase = (5 ÷ 30) × 100 ≈ 16.67%.","TRUE","mechanical"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: What is the total number of employees in HR across both branches in 2023?","86 employees","43 employees","25 employees","18 employees","B","HR: 25 (A) + 18 (B) = 43 employees.","TRUE","mechanical"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: What is the ratio of IT employees in Branch A to Branch B in 2023?","The ratio of IT employees in Branch A to Branch B in 2023 is 60 : 75.","4 : 3","The ratio of IT employees in Branch A to Branch B in 2022 is 50 : 40.","The ratio of IT employees in Branch A to Branch B in 2022 is 50 : 25.","B","A (60) : B (45) = 60 : 45 = 4 : 3.","TRUE","llm"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: By how many employees did Branch A’s total workforce grow from 2022 to 2023?","20 employees","30 employees","40 employees","50 employees","A","2022: 20 + 50 + 30 = 100. 2023: 120. Growth = 120 - 100 = 20 employees.","TRUE","mechanical"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: Which branch had more employees in 2022?","Branch B had fewer employees overall in 2022, so Branch A must have had the most employees.","Branch A","The number of employees in Branch B was not the only factor determining the branch with more employees in 2022.","The number of employees in Branch A increased in 2022, but since the question asks for 2022 specifically, the answer is still Branch A.","B","A: 100. B: 15 + 40 + 25 = 80. A is higher.","TRUE","llm"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: What is the combined number of Sales employees in both branches in 2022?","25 employees","30 employees","55 employees","110 employees","C","A (30) + B (25) = 55 employees.","TRUE","mechanical"
"Intermediate","**Table 2: Employees in Three Departments Across Two Branches**
| Department | Branch A (2022) | Branch A (2023) | Branch B (2022) | Branch B (2023) |
|------------|-----------------|-----------------|-----------------|-----------------|
| HR         | 20              | 25              | 15              | 18              |
| IT         | 50              | 60              | 40              | 45              |
| Sales      | 30              | 35              | 25              | 30              |

Question: What is the percentage of HR employees in Branch A (2023) relative to its total workforce?","25%","41.66%","20.83%","22.91%","C","HR (25) ÷ Total (120) × 100 ≈ 20.83%.","TRUE","mechanical"
